Remove card,2021-04-22
Check Balance,2021-04-22
Money withdrawal,2021-04-22
Add funds,2021-04-22
Payment,2021-04-22
Remove card,2021-04-22
Check Balance,2021-04-22
Remove card,2021-04-22
Add funds,2021-04-25
Money withdrawal,2021-04-25
Remove card,2021-04-25
Check Balance,2021-04-25
Money withdrawal,2021-04-25
Check Balance,2021-04-25
Payment,2021-04-25
Check Balance,2021-04-25
Payment,2021-04-25
Add funds,2021-04-25
Remove card,2021-04-25
Connection to the app account,2021-04-25
Balance check,2021-04-25
Balance check,2021-04-25
Balance check,2021-04-25
Balance check,2021-04-25
Connection to the app account,2021-04-26
Money transfer,2021-04-26
Money withdrawal,2021-04-26
Payment,2021-04-26
Add funds,2021-04-26
Money withdrawal,2021-04-26
Remove card,2021-04-26
Connection to the app account,2021-04-26
Account statement,2021-04-26
Connection to the app account,2021-04-26
Balance check,2021-04-26
Balance check,2021-04-26
Balance check,2021-04-26
Balance check,2021-04-26
Money withdrawal,2021-04-26
Remove card,2021-04-26
Connection to the app account,2021-04-26
Account statement,2021-04-26
Balance check,2021-04-26
Balance check,2021-04-26
Balance check,2021-04-26
Balance check,2021-04-26
Add client,2021-04-27
Add client,2021-04-27
Add app account,2021-04-27
Add app account,2021-04-27
Add client,2021-04-27
Add bank account,2021-04-27
Add credit card,2021-04-27
Add credit card,2021-04-27
Add debit card,2021-04-27
Add credit card,2021-04-27
Add credit card,2021-04-27
Add credit card,2021-04-27
Add debit card,2021-04-27
Add app account,2021-04-28
Connection to the app account,2021-05-06
Account statement,2021-05-06
Add client,2021-05-08
Add client,2021-05-08
Add client,2021-05-08
Add client,2021-05-08
Add app account,2021-05-09
Add bank account,2021-05-09
Add bank account,2021-05-09
Add bank account,2021-05-17
Add bank account,2021-05-17
Add app account,2021-05-18
Add bank account,2021-05-18
Add bank account,2021-05-18
Add bank account,2021-05-18
Add bank account,2021-05-18
Add bank account,2021-05-18
Add bank account,2021-05-18
Add saving account,2021-05-18
Add saving account,2021-05-18
Add app account,2021-05-18
Add bank account,2021-05-18
Add saving account,2021-05-18
Add saving account,2021-05-18
Add saving account,2021-05-18
Add bank account,2021-05-18
Add saving account,2021-05-18
Add client,2021-05-18
Add client,2021-05-18
Add client,2021-05-18
Add client,2021-05-18
Add client,2021-05-18
Add app account,2021-05-18
Add client,2021-05-18
Add client,2021-05-18
Add app account,2021-05-18
Add app account,2021-05-18
Add bank account,2021-05-18
Add saving account,2021-05-18
Add saving account,2021-05-18
Add bank account,2021-05-18
Connection to the app account,2021-05-19
Connection to the app account,2021-05-19
Connection to the app account,2021-05-19
Add client,2021-05-19
Add credit card,2021-05-19
Add credit card,2021-05-19
Add credit card,2021-05-19
Add credit card,2021-05-19
Add credit card,2021-05-19
Add credit card,2021-05-19
Add debit card,2021-05-19
Add credit card,2021-05-19
Add debit card,2021-05-19
Add debit card,2021-05-19
Add debit card,2021-05-19
Connection to the app account,2021-05-19
Connection to the app account,2021-05-19
Balance check,2021-05-19
Balance check,2021-05-19
Money transfer,2021-05-19
Add credit card,2021-05-19
Add debit card,2021-05-19
Add credit card,2021-05-19
Add credit card,2021-05-19
Add credit card,2021-05-19
Add debit card,2021-05-19
Add credit card,2021-05-19
Add debit card,2021-05-19
Add debit card,2021-05-19
Connection to the app account,2021-05-19
Check Balance,2021-05-19
Add funds,2021-05-19
Add funds,2021-05-19
Add funds,2021-05-19
Check Balance,2021-05-19
Money withdrawal,2021-05-19
Add funds,2021-05-20
Money withdrawal,2021-05-20
Payment,2021-05-20
Check Balance,2021-05-20
Payment,2021-05-20
Payment,2021-05-20
Payment,2021-05-20
Payment,2021-05-20
Payment,2021-05-20
Connection to the app account,2021-05-21
Money transfer,2021-05-21
Balance check,2021-05-21
Balance check,2021-05-21
Connection to the app account,2021-05-21
Connection to the app account,2021-05-21
Connection to the app account,2021-05-21
Add app account,2021-05-21
Add client,2021-05-21
Add app account,2021-05-21
Add bank account,2021-05-21
Add credit card,2021-05-21
Add saving account,2021-05-21
Add saving account,2021-05-21
Add bank account,2021-05-21
Payment,2021-05-21
Money withdrawal,2021-05-21
Payment,2021-05-21
Payment,2021-05-21
Add credit card,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add bank account,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add debit card,2021-05-23
Connection to the app account,2021-05-23
Money transfer,2021-05-23
Connection to the app account,2021-05-23
Balance check,2021-05-23
Balance check,2021-05-23
Balance check,2021-05-23
Money withdrawal,2021-05-23
Remove card,2021-05-23
Money withdrawal,2021-05-23
Money withdrawal,2021-05-23
Money withdrawal,2021-05-23
Connection to the app account,2021-05-23
Money transfer,2021-05-23
Remove card,2021-05-23
Connection to the app account,2021-05-23
Money transfer,2021-05-23
Payment,2021-05-23
Connection to the app account,2021-05-25
Connection to the app account,2021-05-25
Connection to the app account,2021-05-25
Add bank account,2021-05-25
Add saving account,2021-05-25
Add credit card,2021-05-25
Add debit card,2021-05-25
Add client,2021-05-25
Add app account,2021-05-25
Add bank account,2021-05-25
Add saving account,2021-05-25
Add credit card,2021-05-25
Add debit card,2021-05-25
Add debit card,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Account statement,2021-05-25
Check Balance,2021-05-25
Money withdrawal,2021-05-25
Add funds,2021-05-25
Payment,2021-05-25
Remove card,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Account statement,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Balance check,2021-05-25
Account statement,2021-05-25
Check Balance,2021-05-25
Money withdrawal,2021-05-25
Add funds,2021-05-25
Payment,2021-05-25
Remove card,2021-05-25
Add client,2021-05-25
Add app account,2021-05-25
Add bank account,2021-05-25
Add saving account,2021-05-25
Connection to the app account,2021-05-25
Account statement,2021-05-25
Account statement,2021-05-25
